"Code","Date","Start","High","Low","End","Transaction"
000020.KS,20000703,9600.01,9869.98,9399.99,9730.00,696200
000020.KS,20000704,9900.00,10199.99,9600.01,9890.01,1109800
000020.KS,20000705,9900.00,10199.99,9300.02,9600.01,630300
000020.KS,20000706,9430.01,9650.02,9399.99,9449.99,693700
000020.KS,20000707,9409.98,9979.98,9409.98,9700.03,1100000
000020.KS,20000710,10100.03,10199.99,9799.99,9799.99,1069100
000020.KS,20000711,9799.99,10000.01,9500.00,9650.02,1019100
000020.KS,20000712,10000.01,10700.00,9720.01,10199.99,2664000
000020.KS,20000713,10400.01,10400.01,9619.99,9799.99,1009400
000020.KS,20000714,9799.99,10000.01,9579.98,9869.98,818800
000020.KS,20000717,9869.98,9869.98,9869.98,9869.98,000
000020.KS,20000718,10000.01,10100.03,9300.02,9399.99,513400
000020.KS,20000719,10000.01,10100.03,9300.02,9399.99,513400
000020.KS,20000720,8910.02,8999.99,8500.02,8800.01,227100
000020.KS,20000721,8900.02,8970.01,8680.02,8800.01,230700
000020.KS,20000724,8800.01,8900.02,8100.02,8209.98,339900
000020.KS,20000725,8199.98,8290.01,7799.98,8060.01,391900
000020.KS,20000726,8360.00,8379.98,8050.02,8100.02,252300
000020.KS,20000727,7900.00,8429.98,7900.00,8100.02,264700
000020.KS,20000728,8000.01,8130.00,7890.01,7890.01,196200
000020.KS,20000731,7700.02,8000.01,7500.00,7799.98,201300
000020.KS,20000801,8050.02,8050.02,7600.01,8029.98,347100
000020.KS,20000802,8249.99,8460.01,8180.00,8240.00,470700
000020.KS,20000803,8369.99,8400.01,8110.01,8249.99,323900
000020.KS,20000804,8249.99,8319.98,7900.00,7900.00,263600
000020.KS,20000807,7900.00,7969.99,7700.02,7700.02,191000
000020.KS,20000808,7519.98,7950.00,7519.98,7660.01,168400
000020.KS,20000809,7710.01,7890.01,7710.01,7799.98,178700
000020.KS,20000810,7519.98,7900.00,7519.98,7870.02,197200
000020.KS,20000811,7900.00,8050.02,7799.98,7979.98,397000
000020.KS,20000814,8199.98,8300.00,8079.99,8149.98,356800
000020.KS,20000815,8149.98,8149.98,8149.98,8149.98,000
000020.KS,20000816,8149.98,8300.00,8060.01,8100.02,162700
000020.KS,20000817,8149.98,8149.98,8010.00,8019.99,178100
000020.KS,20000818,8089.98,8100.02,7919.98,7959.99,178700
000020.KS,20000821,7799.98,7979.98,7799.98,7820.02,153400
000020.KS,20000822,7890.01,8000.01,7749.98,7890.01,159600
000020.KS,20000823,7969.99,8029.98,7760.02,7780.00,210600
